reslhlabinc0,reslhlabinc1,reslhlabinc2,reslhlabinc3,reslhlabinc4,reslhlabinc5,reslhlabinc6,reslhlabinc7,reslhlabinc8,reslhlabinc9,reslhlabinc10,reslhlabinc11,reslhlabinc12,reslhlabinc13,reslhlabinc14,reslhlabinc15,reslhlabinc16,reslhlabinc17,reslhlabinc18,reslhlabinc19,reslhlabinc20,reslhlabinc21,reslhlabinc22,reslhlabinc23,reslhlabinc24,reslhlabinc25,reslhlabinc26,reslhlabinc27,reslhlabinc28,reslhlabinc29,reslhlabinc30,reslhlabinc31,reslhlabinc32,reslhlabinc33,reslhlabinc34,reslhlabinc35
.58164573,.57081842,.68249387,.53257746,.2848351,.2857458,.39837256,.40474412,.6061973,.45337778,.78975809,.58010495,.54796308,.49447367,.43381995,.20338416,,,,.1894808,,.24253193,,,,,,,,,,,,,,
1.0334418,1.2165005,.72375077,.70553529,.80312598,.66887069,.71568179,.002148357,-.12866355,.17542115,1.1958984,.33908176,.54109186,.30345285,-1.4188921,-.97554868,-.21323039,,1.091362,,-.38090232,,-.58820927,,,,,,,,,,,,,
,.75435883,.83255488,.66554868,.43130124,-.36955991,.54367077,.29231656,,.2241555,.22629705,.12546594,.13555561,.069502153,.059619237,-.0056671198,-.030877288,.12192088,-.17342924,-.11942424,,-.24042533,,.025929447,,-.9315691,,,,,,,,,,
.11696607,.10708538,-.022392903,.12117691,.12816602,.075871624,.2888402,.58404475,.1217123,.20096478,.3176862,.17571437,.31938523,.3832995,.37419239,.42205256,.36251765,.43849331,.41901961,.58504206,.45858043,.56572121,.38163179,.47063059,.296801,.30448598,,.38770846,,.21256174,,-.84918392,,,,
-.10015663,,.66971326,,1.0536165,,-.74991882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,.73157704,,-.13206494,,-.2879568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-1.172611,-.3079232,-.24862577,-1.7817264,,,,,,,,,,,,,,,,,,,
-.28502077,.088581145,,.264195,,.1856664,,.20251383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,.031713333,,.92795056,,.064664334,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-.058921449,.34130538,-.55205047,.17244431,.20965207,.45907453,.43131232,.25493121,.03068326,.66135192,.13989513,.67498946,.64380687,-.32638755,,,,,,,
,,,,,,,,,,,-1.0231065,-.88565433,-.7692672,-.97700846,-.99817437,-1.4798446,-.46858543,-.64874518,-.99229908,-1.0129108,,-1.7064431,,-.88876289,,,,,,,,,,,
,,,,,,,-4.0879722,-4.3260345,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-.31832251,,,,,-1.861938,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-1.8749573,-.81267923,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-.86320108,-1.0997547,-.80322319,-1.0885762,-.80082041,-.81589568,-.91979659,-.8494879,-.83665854,-.81707805,-.72969675
,,,,,,,,,,,,,,,,,,,-.32019517,-.3654896,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.22018006,.28759548,,,,,,,
,,,,,,.28717881,.07147754,-.018729081,.20213662,.20639174,.18718128,.086055391,.23041169,.099340409,.023854639,.86567742,.72399819,-.88754958,-.18495743,.50507772,.36939305,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-.60020429,-.78157413,,,,.16586983,.14084892,.15575847,.14453807,.21190254,.23959386,.32794225,.39983454,.20536095,.14772597,.21318571,.18272121,.19869643,.31966925,.24237607,.48025882,.39505854
,,,,,.39101994,.39933506,.30416101,.11380201,,,,,,,,,,,,-.62050998,,,,,,,,,,,,,,,
.63725579,.59005827,.50082946,.42299068,.40096289,1.1485946,.10738478,.36290574,,-.27592233,,-.16494724,,-.22533505,,,,,,,,,,,,,,,,,,,,,,
.16005981,.47972175,-.057141621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.01220932,.067668945,.28170055,.4556337,,.38822535,,.23295842,,.46780053,,,,,,,,,,,,,,,,,,,,,,
,,,,.78479701,1.4246936,.18988162,.14518033,.1696827,-.022150483,,-.70579517,,-.32956773,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.30186585,-.016954189,.065165803,.14089881,-.12969835,-.17995088,-.35161534,.28325304,.062132835,,,
