reslhwage0,reslhwage1,reslhwage2,reslhwage3,reslhwage4,reslhwage5,reslhwage6,reslhwage7,reslhwage8,reslhwage9,reslhwage10,reslhwage11,reslhwage12,reslhwage13,reslhwage14,reslhwage15,reslhwage16,reslhwage17,reslhwage18,reslhwage19,reslhwage20,reslhwage21,reslhwage22,reslhwage23,reslhwage24,reslhwage25,reslhwage26,reslhwage27,reslhwage28,reslhwage29,reslhwage30,reslhwage31,reslhwage32,reslhwage33,reslhwage34,reslhwage35
,,,,-.63622206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.38869989,-.75031143,-.73000592,-.71440053
,,,,,,,,,,,,,,,,,,,,,,,,.19936755,.4079771,.29683316,.38430351,.42525521,.39427686,.20780621,.33350888,.054270923,.33014646,.60215682,.56229562
.37674323,.19042848,.2991285,.27798426,-.08146549,.035745233,.029111866,.33706501,.43530828,.2730529,.59069949,.16909656,.33644155,.2912631,.285855,-.10215408,,,,-.36015505,,-.18517888,,,,,,,,,,,,,,
1.2071241,1.0019566,.75799841,.63755971,.7040801,.62328994,.65353978,.0016684401,-.46220267,-.17959324,.8712042,.12534587,.40895596,.14906053,-1.6858362,-1.1858491,-.61964267,,1.101142,,-.58251035,,-.80799836,,,,,,,,,,,,,
,.58366722,.70534194,.55693287,.46228787,.093791418,.41825029,.42013246,,.22911766,.19111513,.14785923,.15965691,.14124927,.10047796,-.079346962,1.5990555,.19373672,-.022828544,-.15215927,,-.0074958042,,.062839419,,,,,,,,,,,,
.10556103,-.12547828,-.09884984,.028969411,-.020985635,-.3795369,.10501757,.58467573,-.085134126,.12441048,.13752301,.022320407,.21263532,.25323403,.27056032,.27397171,.29153094,.041987672,.19070408,.46472082,.32245716,.34462094,.28499454,.21295963,.29336479,.19295301,,.21704866,,.15209405,,-1.2617207,,,,
-.64556199,,-.04838603,,.56186128,,-.90962458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,.16799058,,.00087634678,,-.3232168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.35342261,-.25627112,.64205158,-.59095329,,,,,,,,,,,,,,,,,,,
.47382799,.031301741,,.1919319,,.20307571,,.21572511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,.099417731,,.98617554,,.35316771,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-.42096463,.14097178,.16425455,.24830206,.180319,.19517384,.54450941,-.028037164,.025724096,.28660578,.53838998,.016667768,.14772332,-.29703221,,,,,,,
,,,,,,,,,,,-.18444145,.024387527,-.13820563,-1.2039181,-.83756369,-1.2185283,-.47121078,-.65856755,-.44728974,-.56400603,,-1.7997922,,-.20677096,,,,,,,,,,,
,,,,,,,,-.61979866,,,,,-1.0837243,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-1.4660496,-.37017167,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-1.0888808,-1.3147446,-1.0929285,-1.1075245,-1.0870105,-.97466749,-.83894604,-.94588065,-.80321819,-1.0014882,-.90017205
,,,,,,,,,,,,,,,,,,,-.44185993,-.088728987,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-.13719274,-.2275375,,,,,,,
,,,,,,-.33954126,-.41486788,-.95379156,-.32697549,-.088337436,-.30551007,-.36448449,-.21062379,.22693188,-.12318555,.39010742,.22201063,-.73421085,-.16349243,.61954939,.3800281,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-.74041688,-.58826464,,,,-.16960323,-.095806383,-.15787476,-.1885791,-.31281194,.0087630339,-.22645901,-.031183789,.019054236,-.12921621,-.22367923,-.51748955,.038268346,.16101688,-.02296818,.2111972,.13785614
,,,,,.38102707,.78576636,.36404252,.17335011,,,,,,,,,,,,-.13573989,,,,,,,,,,,,,,,
.39011353,.23745564,.2497652,.24009441,.17184295,.85538328,-.052043252,.43330184,,1.2527695,,-.11360964,,-.20569336,,,,,,,,,,,,,,,,,,,,,,
-.14460117,.48056597,.038950816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-.027929774,-.0028617228,.18748243,-.064866737,,.09193071,,.24167755,,.4343183,,,,,,,,,,,,,,,,,,,,,,
,,,,.1656733,1.0620689,.03868461,-.05133773,-.068773076,-.018123256,,-.74026442,,-.52600539,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.33670455,.05079177,.066825539,.1842775,.19010228,-.081935368,-.10613666,.36118501,.24980232,,,
,,,,,,,,,,,,,,-.38917056,-.21062724,.097657904,.075409457,-.26865301,-.2137778,-.1401667,-.0943022,.11696171,,.14666745,,.3236835,,.37723666,,,,,,,
,-.94174278,-.40379819,-.10752756,,.30267856,,.44645903,,.68125361,,,,,,,,,,,,,,,,,,,,,,,,,,
,-.26291516,-.39915627,,-.038871165,,-.82570916,,.058603454,,,,,,,,,,,,,,,,,,,,,,,,,,,
.20327173,.27406865,.085579462,.39142129,-.051960029,.32450268,.061660726,.2538076,.31647599,.28607452,.56275892,.58693957,.52044213,.33836436,.48711622,.52816451,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.73796725,-.63805145,-.8916319,-.46335801
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4816403,,,
-.55999684,-.53247094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.19457296,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-.019433584,.12795821,.086874217,-.095771663,.09003105,.025772583,-.10496008,.14690062,.13990505,.1712665,.21959136,.071097493,.18625812,.11795215,.15598521,.26111454,.17794013,.17360198,.2569454,.24780901
-.26586559,-.057221476,-.50563657,-.36871687,-.21181734,.0082206093,.15727147,-.024752947,-.057254456,.26281288,.21459153,.28655085,.20606256,-.016297257,.076510675,.2276133,.11321739,,,,,,,,,-1.322184,,-1.1986239,,-1.2871674,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-.78243113,-.85586548,-.71486753,-.65509838,,-.48901588,,-.47260967,,-.12075197,,,
-.12443735,-.20552775,-1.2250068,-.8174113,-1.8548069,-1.0604668,-1.3321269,,,-.36174768,-.76784563,-1.441474,,-1.2421855,-1.9900433,-1.35177,-.84509391,-1.5406548,-1.0190804,-1.0092632,,-1.3845326,-1.4425973,.46905333,-1.0387052,-.30045381,,,-.70160413,,,,,,,
,,,,,,,.50328124,,.58994317,,.57875234,,,,,,,,,,,,,,,,,,,,,,,,
-.071780317,-.15494236,.049459215,,,,.013840774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.29316711,.24951245,.3286356,.27979547,.20702326,.20313798,.33070263,.24021007,,,,,,,,,,,,,,,,,,,,,,,,,,
.46813431,,1.2904826,,1.7088615,,2.0769076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-.86147821,-.48853776,-.34172404,,-1.0343769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.58745033,.72320485,.58557355,.62483871,.6864363,.65025443,.80920672,.59400815,.37931299,.60544389,.40910769,.45038995,.78043723,.78462309,.69412303,.69141608,.80128998,.7411958,1.035872,,,,,,,
.16212934,.64822495,.5863471,.77549583,.78360659,.5863331,.59875882,.63678813,.41099185,.28591171,.47046113,.19399939,,.20133151,,.12453274,,.099889852,,,,,,,,,,,,,,,,,,
,,,,,,,,,-.13726106,,,,,,,,,,,,,,,,,,,,,,,,,,
.72755945,.49096158,-.34612215,.11206736,-.46073076,-.015746882,.1457262,.26073241,-.044233128,.14515103,,.73343801,,.51966107,,.44841421,,,,,,,,,,,,,,,,,,,,
,,,,,-.47513872,,-.55182475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-.20208661,-.3391104,.33742675,.42115104,.41989145,.58998561,.29788762,.41207236,-.23104072,-.41106835,1.2757332,,.045021024,,,,.94142437,,,,,,,,,,,,,,,,,,,
.12027212,.32031685,,.25088096,,.46015084,,.6084609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-.26148805,,-.79922438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,.35800523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,.52305406,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-.054346744,-1.0074358,,,,,,,,,,,,,,,,,,,,,,,,,,
-.29052511,-.37334195,.19609852,.003560337,-.047343995,-.050934687,-.10331357,-.067005172,.071163073,.17537579,.22193819,-1.1160575,-1.1065744,1.0457342,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.46091616,.43074965,.4956632,.40224999,.5407294,,.37677264,,.4881984,,-.73222363,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.27615815,-.38412806,-.33108622,-.228054,-.22344007,-.25217441,-.24068515
,,,,,,,,,,,,,,,-.23806745,,,,,,,,,,,,,,,,,,,,
