reslhwage0,reslhwage1,reslhwage2,reslhwage3,reslhwage4,reslhwage5,reslhwage6,reslhwage7,reslhwage8,reslhwage9,reslhwage10,reslhwage11,reslhwage12,reslhwage13,reslhwage14,reslhwage15,reslhwage16,reslhwage17,reslhwage18,reslhwage19,reslhwage20,reslhwage21,reslhwage22,reslhwage23,reslhwage24,reslhwage25,reslhwage26,reslhwage27,reslhwage28,reslhwage29,reslhwage30,reslhwage31,reslhwage32,reslhwage33,reslhwage34,reslhwage35
,,,,,,,,,.42558175,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-.10177825,-1.0547841,,,,,,,,,,,,,,,,,,,,,,,,,,
-.33428457,-.42061204,.12616482,-.032959498,-.070876814,-.059365064,-.11608294,-.067162298,.085761927,.18614608,.22538391,-1.1131932,-1.0742347,1.0771226,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.54107285,.5268544,.59234583,.45531338,.57968348,,.45393968,,.53180349,,-.63332528,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.20722431,-.27966228,-.2639893,-.19133125,-.15190007,-.12236879,-.17760102
,,,,,,,,,,,,,,,-.21644239,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.28026202,.19293699,.068562977,.25555447,.35230696,.41131571,,,,,,,,,,,,,,,,,
,,-.39766303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5435816,-.81061512
,,,,,,,,,-.82339215,-.66861778,-.32503644,-.4538345,,-.43633479,,-.41784224,,-.25018102,,,,,,,,,,,,,,,,,
,,,,,,,,,-.63104361,-.5465526,,-.33196273,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-.021181025,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-.2480261,-.24084082,-.2855438,-.15949637,.11838565,,,,,,,,,,,,,,,,
,1.0111023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.028035006,,,
,,,,,,,,,,,,,,-.75298977,,-.65171885,,,,,,,,,,,,,,,,,,,
,.19992508,-.75425059,,-.58421767,-.46005949,-.892461,-.9349395,,-.75534046,,.018498259,.49410179,-.021456994,.29405797,.31083697,-.18129972,,-.48892477,,,,.20457219,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-.4060449,.12094565,,-.081709273,,.17259482,,-.064079389,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,.10668813,.040242635,,,,-.032283779,,,,,,,,,,,,
,,,,,,,,-.89669001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.47718626,
.18089418,,-.43763572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.29383615,.13313283,-.069439709,-.053279411,,,,-.038984224,,-.0757856,,,,,,,,,,,,,,,,,,
,,,,,,-.14655201,-.13264182,,-.41149837,-.33422622,-.34042898,-.25600281,-.20993154,-.24703199,-.35511279,-.41821042,,,,-.4230752,-.32919255,-.43630239,-.48726696,-.48291609,-.46770859,-.57585341,,,-.30099562,-.34879118,-.71310711,-.42788845,.050814893,-.4704701,-.61131239
,-1.0520198,-.62466216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.47742602,.66980833,.77999818,.60004002,,.39675957,,.4127332,,.21579123,,.84883553,,.17534845,,,,,,,,,,,,,,,,,,,,,,
.43849382,.82287061,.35056841,.82613897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.095735006,.14608845,.36880851,-.064735875,.70033514,,,-.84749371,-.96508056,-.67253125,,-1.0183963,,-.34623569,,-1.0359186,,-1.4913206,,,,,,,,,,,,,,,,,,
,,,,,.1523996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-.35083014,-.26205707,-.55118513,-.40479261,,-.43188468,,-.11132926,,-.23412225,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-.4609718,,-.41784585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-.44645506,,-.09468966,,-.14998251,,-.1317016,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.91660696,,.80677593,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-.51611191,-.43403846,-.51748288,-.42869276,-.53099948,-.55976415,-.37279546,-.38725525,-.49842906,-.27549973,-.35226387,-.33688444,.041602727,-.10110003,-.24312429,-.30441779,-.28216347,-.154834,-.36027795,-.58560288,-.1931711,-.5568974,-.69135392,-.73504454,,-1.8271924,,,-1.6865276
.71439773,.6202848,.25014704,.26041323,.12059925,.1544039,.13211349,-.082707621,-.24912103,-.056723531,-.18386681,-.11901802,-.25698158,,-.17300031,,-.25251669,,-.17722525,,,,,,,,,,,,,,,,,
-.28947788,-.20804287,-.065568358,-.37308884,-.23515311,-.44057935,-.4779841,-.43044487,-.55517167,,-.90151793,,-.79155803,,-.71193451,,,,,,,,,,,,,,,,,,,,,
,-.1463546,,-.2380985,,.043888893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.63750291,.39739665,.91273254,.88186628,.99031579,.67663199,.4218317,.43715954,.44733527,.48188072,.68110192,,.07174366,,-.28036872,,-.3952814,,,,,,,,,,,,,,,,,
,,,.1692055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-.14729686,-.2239354,-.18879089,-.23156795,-.37476945,-.29659963,-.27658236,-.39549002,-.2412978,-.39647216,-.2915318,-.12605838,-.2560412,-.29174984,-.27005857,-.34926981,-.50632834,-.010069648,-.26163733,-.22050595,-.15429206,-.031443793,-.55255634,-.15565147,-.057582863,.15175726,-.35630602,,-.10726815,-.12854876,,,,.025454503,
,,,,,,,,,,,,,,,,,,,,,,-.94722152,,,,,,,,,,,,,
,,,,,,,,.16313724,,-.0063106003,,.28181815,.25067246,.4382889,-.62273234,.21850318,.17141582,-.22592172,.070724569,.0049473718,.069127969,.23405646,.26205295,.20264386,.32857469,-1.3378994,-.79380411,-.54813612,-.72593158,-.48469353,-.40658829,-.46165887,.11547656,-.21820976,-.099723689
-.84436882,-.29175466,-.30009833,-.15750518,-.43170282,-.38016793,-.241556,-.31003916,-.30277231,-.082632087,-.16353408,,,-.15470932,-.74935502,,-.3190642,,-.22592068,,-.1706768,,,,,,,,,,,,,,,
.21346754,.68359375,,.31105462,-.38233632,.15204829,.044466477,-.1461737,.10109892,.24339774,-.13902725,.22846557,,,.13118093,,-.062852681,,.20482321,,,,,,,,,,,,,,,,,
,,,,,,,,,-.93064898,-.76536733,-.47232789,-.51056093,,,,,,,,,,,,,,,,,,,,,,,
-1.1851989,-.77746809,-.32910609,-.25659034,-.93693757,-1.0315875,-.49203384,.54661316,-.49465558,-1.1491754,-.73824304,-.76840019,,,,-1.3121167,,-1.3646623,,,,,,,,,,,,,,,,,,
.10286834,-.023203015,-.33046219,-.31073415,-.040640786,.022153253,.074938051,.40140554,-.19338672,.20428044,.44954705,,-.16667289,,-.030926716,,.10612366,,,,,,,,,,,,,,,,,,,
-.065166146,.10292812,.1041664,-.27885398,-.093935713,-.17979996,-.41510907,,,,,-.2799466,,.095606409,,,,,,,,,,,,,,,,,,,,,,
-.16516319,-.21922922,.36802986,-.52173251,.13006803,-.93109298,,,,-.13702109,,-.2164499,,,,,,,,,,,,,,,,,,,,,,,,
